Edition,Grand Total,City,Country
1896   ,151        ,Athens     ,Greece
1900   ,512        ,Paris      ,France
1904   ,470        ,St. Louis  ,United States
1908   ,804        ,London     ,United Kingdom
1912   ,885        ,Stockholm  ,Sweden
1920   ,1298       ,Antwerp    ,Belgium
1924   ,884        ,Paris      ,France
1928   ,710        ,Amsterdam  ,Netherlands
1932   ,615        ,Los Angeles,United States
1936   ,875        ,Berlin     ,Germany
1948   ,814        ,London     ,United Kingdom
1952   ,889        ,Helsinki   ,Finland
1956   ,885        ,Melbourne  ,Australia
1960   ,882        ,Rome       ,Italy
1964   ,1010       ,Tokyo      ,Japan
1968   ,1031       ,Mexico City,Mexico
1972   ,1185       ,Munich     ,West Germany (now Germany)
1976   ,1305       ,Montreal   ,Canada
1980   ,1387       ,Moscow     ,U.S.S.R. (now Russia)
1984   ,1459       ,Los Angeles,United States
1988   ,1546       ,Seoul      ,South Korea
1992   ,1705       ,Barcelona  ,Spain
1996   ,1859       ,Atlanta    ,United States
2000   ,2015       ,Sydney     ,Australia
2004   ,1998       ,Athens     ,Greece
2008   ,2042       ,Beijing    ,China